amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score,rank
102886,-0.7674063178547241,-0.1947073805832048,0.0289693978663794,-0.2800112356639287,1.51,0.925,0.925,1.0,0.6125,0.875,88.8125,1
100016,1.292649342495622,-0.1876504687862404,0.0374758076344328,-0.247344408806733,1.55,0.875,0.9,0.975,0.8,0.85,88.75,2
119095,-11.705806723995272,-0.0679256784693741,0.0480159536377595,-0.5167775370852656,1.38,1.0,0.85,0.925,0.425,0.975,85.875,3
101207,-4.152381044854481,0.1704806951883156,0.1089709190170453,-0.3544691649336603,1.53,0.975,0.725,0.675,0.7125,0.95,81.0625,4
119092,0.5258871209757432,0.0452453229903417,0.0689952982167755,-0.1440161790933726,1.64,0.9,0.8,0.75,0.9875,0.375,80.5625,5
119599,-1.337386614488112,-0.0491011694543039,0.0488242159455398,-0.5257422117012851,0.72,0.95,0.825,0.9,0.1375,1.0,79.1875,6
120842,7.756003551327284,0.0872731847903972,0.0780443887615508,-0.2400351132627488,1.56,0.7,0.775,0.725,0.825,0.825,75.5,7
100025,3.9163899571040384,-0.5154378235862159,0.0428179203150608,-0.0430826382463634,0.56,0.85,1.0,0.95,0.05,0.1,71.25,8
101208,6.315784491375509,-0.4172293824628263,0.0608614579578711,-0.0016224980244717,0.79,0.775,0.975,0.825,0.275,0.075,69.0,9
118636,4.062205023777143,-0.306013219239524,0.050747729999761,-0.083163617636387,0.55,0.825,0.95,0.875,0.025,0.15,67.875,10
119120,5.840358798463097,-0.1757233632823229,0.0562089521663836,-0.0432872892397009,0.77,0.8,0.875,0.85,0.225,0.125,67.5,11
118634,8.007927728656083,0.4564261243061756,0.1750072167561127,-0.2334488614483311,1.53,0.675,0.65,0.45,0.7125,0.8,64.1875,12
120841,17.26727508371786,0.5092559163430017,0.1304292445070544,-0.1757361416468729,1.59,0.55,0.6,0.625,0.875,0.6,63.125,13
125498,11.245222866621418,0.3116040974052194,0.1198910097121797,-0.2111727956013211,0.78,0.65,0.675,0.65,0.25,0.725,60.375,14
149322,18.04420648663614,0.4780917280523954,0.1317319022609943,-0.1484457691777174,1.54,0.525,0.625,0.6,0.7625,0.4,58.8125,15
120844,6.695971624586994,0.3042518233329712,0.0645567749537599,-0.0011629327956168,0.6,0.75,0.7,0.8,0.075,0.05,57.625,16
102887,25.556187904126524,0.6323192432780438,0.1621125679403325,-0.2153982711238322,1.64,0.325,0.575,0.525,0.9875,0.75,56.9375,17
119093,20.816771175535862,0.1440412221042796,0.0823280129522209,-0.2175139637014822,0.75,0.4,0.75,0.7,0.2,0.775,55.5,18
120506,18.421996537444542,0.6621241011051737,0.1625385327998104,-0.1982565826298267,1.41,0.5,0.525,0.5,0.475,0.675,52.0,19
120507,7.394286300360076,0.9041623305375964,0.0674621041109953,-0.0009773140045925,0.74,0.725,0.4,0.775,0.175,0.025,50.125,20
120503,13.978381933703044,0.8125023019488117,0.1770330236584407,-0.1389786282306163,1.42,0.625,0.45,0.425,0.5,0.35,49.5,21
148568,14.748035533586012,0.9393621577599311,0.2087301008694233,-0.1527259422823477,1.52,0.6,0.375,0.35,0.6625,0.475,49.0625,22
102885,19.66726206830185,0.8328147683762674,0.1704875680341269,-0.1085986215250232,1.57,0.45,0.425,0.475,0.85,0.175,48.125,23
118633,21.08997654925684,0.6596198173038655,0.1564383594816966,-0.1862974313859551,0.72,0.375,0.55,0.55,0.1375,0.65,44.5625,24
118635,20.00820838047148,0.6803950621402506,0.1513635464823924,-0.1165062450540909,0.89,0.425,0.5,0.575,0.325,0.25,44.125,25
125497,18.434488610520173,0.7895427197023144,0.1772975492753176,-0.1520001305560639,0.92,0.475,0.475,0.4,0.35,0.45,43.875,26
119552,16.267372294624916,0.9677516848309496,0.1986859936686296,-0.1180349350276429,0.66,0.575,0.3,0.375,0.1,0.275,36.5,27
118632,22.652359830098632,1.095917599266092,0.2182939790460864,-0.1741407508665723,1.51,0.35,0.2,0.275,0.6125,0.575,35.9375,28
149324,27.000426614519245,0.9579170598994374,0.3005787817097677,-0.3117190030063421,1.52,0.25,0.325,0.05,0.6625,0.925,35.8125,29
149323,26.869990828902203,1.1434895599140833,0.2659857754204304,-0.1724810575345138,1.61,0.275,0.15,0.2,0.95,0.55,35.75,30
119598,26.66992200118774,0.9533324621776283,0.3033696538698332,-0.2870600572176455,1.43,0.3,0.35,0.025,0.525,0.9,35.125,31
101206,28.96769452874166,1.0410608155745145,0.2139978477605121,-0.1129159632932307,1.6,0.225,0.225,0.3,0.9125,0.225,34.3125,32
148569,29.178901578393777,1.246344140962056,0.2827036785246582,-0.1639674294693263,1.6,0.2,0.075,0.1,0.9125,0.525,28.8125,33
119551,30.456524420302888,1.222947214685124,0.2320100716063508,-0.1501238549864533,1.54,0.15,0.1,0.25,0.7625,0.425,27.6875,34
119094,35.11180209642853,1.0086257891314456,0.2607666908004223,-0.2096088386203919,1.38,0.025,0.275,0.225,0.425,0.7,25.5,35
120504,32.48742855621496,1.0405688566490532,0.2119482701352573,-0.1258827560692251,0.8,0.075,0.25,0.325,0.3,0.3,22.5,36
100033,32.44245942195612,1.104351762950682,0.2719535450128533,-0.1621720857464484,1.38,0.1,0.175,0.15,0.425,0.5,21.75,37
120843,29.58277033726251,1.3194419817117229,0.2733046503830605,-0.1297396816518679,1.45,0.175,0.05,0.125,0.55,0.325,20.5,38
120505,31.777537151234704,1.1905585963067495,0.2926358334175106,-0.1818851357211629,1.36,0.125,0.125,0.075,0.375,0.625,20.25,39
148567,34.00091602163293,1.4625040290030735,0.2698375144191807,-0.1126572907502827,1.46,0.05,0.025,0.175,0.575,0.2,16.25,40
