amfi_code,sharpe_ratio,sharpe_rank
148567,1.4625040290030735,1.0
120843,1.3194419817117229,2.0
148569,1.2463441409620561,3.0
119551,1.2229472146851241,4.0
120505,1.1905585963067495,5.0
149323,1.1434895599140833,6.0
100033,1.104351762950682,7.0
118632,1.095917599266092,8.0
101206,1.0410608155745145,9.0
120504,1.0405688566490532,10.0
119094,1.0086257891314456,11.0
119552,0.9677516848309496,12.0
149324,0.9579170598994374,13.0
119598,0.9533324621776283,14.0
148568,0.9393621577599311,15.0
120507,0.9041623305375963,16.0
102885,0.8328147683762674,17.0
120503,0.8125023019488117,18.0
125497,0.7895427197023144,19.0
118635,0.6803950621402506,20.0
120506,0.6621241011051737,21.0
118633,0.6596198173038655,22.0
102887,0.6323192432780438,23.0
120841,0.5092559163430017,24.0
149322,0.4780917280523954,25.0
118634,0.45642612430617563,26.0
125498,0.31160409740521944,27.0
120844,0.3042518233329712,28.0
101207,0.1704806951883156,29.0
119093,0.1440412221042796,30.0
120842,0.08727318479039724,31.0
119092,0.04524532299034174,32.0
119599,-0.04910116945430391,33.0
119095,-0.06792567846937418,34.0
119120,-0.17572336328232296,35.0
100016,-0.18765046878624045,36.0
102886,-0.1947073805832048,37.0
118636,-0.306013219239524,38.0
101208,-0.41722938246282637,39.0
100025,-0.5154378235862159,40.0
